# Prueba de acciones: PID, ACCION, Recurso, CICLO
P1,  READ,  R1,     0
P2,  WRITE, R2,     0
P3,  READ,  R2,     0
P4,  WRITE, R3,     0
P5,  READ,  R4,     1
P6,  WRITE, R5,     1
P7,  READ,  R6,     1
P8,  WRITE, R7,     2
P9,  READ,  R8,     2
P10, WRITE, R9,     2
P11, READ,  R10,    3
P12, WRITE, R1,     3
P13, READ,  R2,     3
P14, WRITE, R3,     4
P15, READ,  R4,     4
P16, WRITE, R5,     4
P17, READ,  R6,     5
P18, WRITE, R7,     5
P19, READ,  R8,     5
P20, WRITE, R9,     6
P1,  READ,  R10,    6
P2,  WRITE, R1,     6
P3,  READ,  R2,     7
P4,  WRITE, R3,     7
P5,  READ,  R4,     7
P6,  WRITE, R5,     8
P7,  READ,  R6,     8
P8,  WRITE, R7,     9
P9,  READ,  R8,     9
P10, WRITE, R9,     10
P11, READ,  R10,    10
P12, WRITE, R1,     10
P13, READ,  R2,     11
P14, WRITE, R3,     11
P15, READ,  R4,     11
P16, WRITE, R5,     12
P17, READ,  R6,     12
P18, WRITE, R7,     12
P19, READ,  R8,     13
P20, WRITE, R9,     13
P1,  READ,  R10,    13
P2,  WRITE, R1,     14
P3,  READ,  R2,     14
P4,  WRITE, R3,     14
P5,  READ,  R4,     15
P6,  WRITE, R5,     15
P7,  READ,  R6,     15
P8,  WRITE, R7,     16
P9,  READ,  R8,     16
P10, WRITE, R9,     16
P11, READ,  R10,    17
P12, WRITE, R1,     17
P13, READ,  R2,     17
P14, WRITE, R3,     18
P15, READ,  R4,     18
P16, WRITE, R5,     18
P17, READ,  R6,     19
P18, WRITE, R7,     19
P19, READ,  R8,     19
P20, WRITE, R9,     20
P1,  READ,  R10,    20
P2,  WRITE, R1,     20
